playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","-8.7563","113.319","null","103","143","43","null","1.7245","121.3883","-21.6117","3.8","127.4084","88.7465","3.9838","42",
"2532977","null","Kendall Wright","WR","TEN","WR","TEN","-9.1296","112.9458","null","104","144","44","null","2.9387","126.8267","-17.1733","3.55","123.3431","95.4244","4.1481","19",
"496843","null","Jason Pierre-Paul","DL","NYG","DL","NYG","-9.2709","72.279","null","null","145","12","null","0.1876","125.055","-19.945","5.05","92.0603","45.5644","9.4652","1",
"2506314","null","Cameron Wake","DL","MIA","DL","MIA","-9.394","72.1559","null","null","146","13","null","0.1473","124","-22","3.85","75.5616","68.3","4.8999","null",
"2506921","null","Stephen Tulloch","LB","DET","LB","DET","-9.4762","115.2828","null","null","147","25","null","0.4571","184","37","2","125.2188","105.95","2.5643","67",
"496796","null","Jerry Hughes","DL","BUF","DL","BUF","-9.5231","72.0268","null","null","148","14","null","0.5345","126.55","-21.45","1.5","77.4089","63.45","4.7571","null",
"2533051","null","Fletcher Cox","DL","PHI","DL","PHI","-9.5595","71.9904","null","null","149","15","null","1.4483","148.4","-0.6","2.1","80.65","62.25","5.0552","7",
"2532800","null","Nigel Bradham","LB","BUF","LB","BUF","-9.6094","115.1496","null","null","150","26","null","0.908","193.25","43.25","2","117.4977","112.0862","4.8224","23",
"2539309","null","T.J. McDonald","DB","STL","DB","STL","-9.655","114.4144","null","null","151","6","null","1.1089","136.62","-14.38","2.85","117.9889","110.955","6.3114","13",
"2539223","null","Johnathan Cyprien","DB","JAC","DB","JAC","-10.0783","113.9911","null","null","152","7","null","4.8446","130.665","-21.335","3.85","119.0858","107.0862","6.0026","17",
"2552312","null","Eric Kendricks","LB","MIN","LB","MIN","-10.2572","114.5019","null","null","153","27","null","0.9749","147.5","-5.5","3.6","128.3149","102.4026","3.7988","45",
"100013","null","Texans","DST","HOU","DST","HOU","-10.4459","187.6947","null","170","154","2","null","8.8952","79.7475","-74.2525","2.525","198.9106","113.3773","6.1265","null",
"2495478","null","Marcell Dareus","DL","BUF","DL","BUF","-10.5557","70.9942","null","null","155","16","null","1.5894","200.5","45.5","2","72.9045","68.3684","4.7873","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","-10.5678","187.5728","null","139","156","3","null","18.0304","65.25","-90.75","4.175","202.7725","75","11.9724","null",
"2495493","null","Justin Houston","LB","KC","LB","KC","-10.7777","113.9813","null","null","157","28","null","1.1772","115.1","-41.9","4.55","129.3845","99.9288","4.2036","36",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","-11.4363","91.519","null","119","158","11","null","4.8563","108.9183","-49.0817","3.625","98.0073","69.6032","4.5084","11",
"2495807","null","Antoine Bethea","DB","SF","DB","SF","-11.4494","112.62","null","null","159","8","null","7.3405","152.125","-6.875","2","118.07","100.7184","5.2762","27",
"2495184","null","Cameron Jordan","DL","NO","DL","NO","-11.4599","70.09","null","null","160","17","null","1.5372","170.875","10.875","2.5","74.0886","66.241","5.1978","null",
