Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Jonathan Grimes,3000,Hou@Ten 01:00PM ET,5.133,Hou
WR,Frankie Hammond Jr.,3000,Cle@KC 01:00PM ET,-0.143,KC
WR,Jaron Brown,3000,GB@Ari 04:25PM ET,2.243,Ari
WR,T.J. Graham,3000,Jax@NO 04:05PM ET,1.600,NO
RB,Glenn Winston,3000,Cle@KC 01:00PM ET,-0.600,Cle
WR,Keshawn Martin,3000,NE@NYJ 01:00PM ET,6.671,NE
WR,Myles White,3000,NYG@Min 08:30PM ET,1.040,NYG
RB,Jordan Todman,3000,Pit@Bal 01:00PM ET,0.200,Pit
WR,Jarius Wright,3000,NYG@Min 08:30PM ET,4.807,Min
WR,Damaris Johnson,3000,Hou@Ten 01:00PM ET,0.600,Ten
RB,Jonas Gray,3000,Jax@NO 04:05PM ET,4.233,Jax
WR,Russell Shepard,3000,Chi@TB 01:00PM ET,0.818,TB
WR,Mohamed Sanu,3000,Cin@Den 08:30PM ET,5.421,Cin
RB,Zurlon Tipton,3000,Ind@Mia 01:00PM ET,1.270,Ind
RB,Knile Davis,3000,Cle@KC 01:00PM ET,1.467,KC
RB,Tommy Bohanon,3000,NE@NYJ 01:00PM ET,0.700,NYJ
RB,Toben Opurum,3000,Jax@NO 04:05PM ET,0.000,NO
RB,Rex Burkhead,3000,Cin@Den 08:30PM ET,1.643,Cin
RB,Benny Cunningham,3000,StL@Sea 04:25PM ET,3.600,StL
RB,Kendall Gaskins,3000,SF@Det 01:00PM ET,2.500,SF
RB,Nikita Whitlock,3000,NYG@Min 08:30PM ET,0.000,NYG
RB,Kyle Juszczyk,3000,Pit@Bal 01:00PM ET,5.507,Bal
RB,Stepfan Taylor,3000,GB@Ari 04:25PM ET,0.514,Ari
RB,Kerwynn Williams,3000,GB@Ari 04:25PM ET,4.500,Ari
RB,Brandon Wegher,3000,Car@Atl 01:00PM ET,0,Car
WR,Kevin Norwood,3000,Car@Atl 01:00PM ET,0.000,Car
RB,Fitzgerald Toussaint,3000,Pit@Bal 01:00PM ET,0.400,Pit
WR,Bennie Fowler,3000,Cin@Den 08:30PM ET,2.336,Den
WR,Jared Abbrederis,3000,GB@Ari 04:25PM ET,2.325,GB
WR,Nick Williams,3000,Car@Atl 01:00PM ET,3.742,Atl
