QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Ty Montgomery (9758114),Ty Montgomery,9758114,RB,4300,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,WR,Randall Cobb (9758126),Randall Cobb,9758126,WR,4300,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,Isaiah Crowell (9758146),Isaiah Crowell,9758146,RB,4300,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,QB,Chad Henne (9758304),Chad Henne,9758304,QB,4300,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,QB,Matt Schaub (9758589),Matt Schaub,9758589,QB,4300,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,TE,Charles Clay (9758033),Charles Clay,9758033,TE,4200,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,QB,Jake Rudock (9758180),Jake Rudock,9758180,QB,4200,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,QB,Scott Tolzien (9758211),Scott Tolzien,9758211,QB,4200,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Jermaine Kearse (9758347),Jermaine Kearse,9758347,WR,4200,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,QB,Sean Mannion (9758557),Sean Mannion,9758557,QB,4200,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Matt Breida (9758688),Matt Breida,9758688,RB,4200,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,RB,Duke Johnson Jr. (9758144),Duke Johnson Jr.,9758144,RB,4100,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Marqise Lee (9758317),Marqise Lee,9758317,WR,4100,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,Cameron Brate (9758389),Cameron Brate,9758389,TE,4100,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Josh Doctson (9758509),Josh Doctson,9758509,WR,4100,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,QB,Joe Webb (9758009),Joe Webb,9758009,QB,4000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,QB,Nathan Peterman (9758010),Nathan Peterman,9758010,QB,4000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,QB,Taysom Hill (9758044),Taysom Hill,9758044,QB,4000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Mark Sanchez (9758076),Mark Sanchez,9758076,QB,4000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,RB,Jamaal Williams (9758116),Jamaal Williams,9758116,RB,4000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,WR,Josh Gordon (9758154),Josh Gordon,9758154,WR,4000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,RB,Theo Riddick (9758183),Theo Riddick,9758183,RB,4000,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,QB,Joshua Dobbs (9758243),Joshua Dobbs,9758243,QB,4000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,QB,Kellen Clemens (9758273),Kellen Clemens,9758273,QB,4000,LAC@JAX 11/12/2017 01:00PM ET,LAC,
