P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Troy Scribner (10577177),Troy Scribner,10577177,P,5000,SF@LAA 04/21/2018 09:07PM ET,LAA,0
,,,,,,,,,,,SP,A.J. Puk (10577164),A.J. Puk,10577164,P,5000,BOS@OAK 04/21/2018 09:05PM ET,OAK,0
,,,,,,,,,,,SP,Daniel Gossett (10577166),Daniel Gossett,10577166,P,5000,BOS@OAK 04/21/2018 09:05PM ET,OAK,-2.25
,,,,,,,,,,,SP,Paul Blackburn (10577178),Paul Blackburn,10577178,P,5000,BOS@OAK 04/21/2018 09:05PM ET,OAK,0
,,,,,,,,,,,SP,A.J. Griffin (10577181),A.J. Griffin,10577181,P,4900,NYM@ATL 04/21/2018 07:10PM ET,NYM,0
,,,,,,,,,,,RP,David Paulino (10577179),David Paulino,10577179,P,4900,HOU@CWS 04/21/2018 07:10PM ET,HOU,0
,,,,,,,,,,,SP,Carson Fulmer (10577182),Carson Fulmer,10577182,P,4900,HOU@CWS 04/21/2018 07:10PM ET,CWS,3.55
,,,,,,,,,,,RP,Francis Martes (10577183),Francis Martes,10577183,P,4900,HOU@CWS 04/21/2018 07:10PM ET,HOU,0
,,,,,,,,,,,SP,Sandy Alcantara (10577184),Sandy Alcantara,10577184,P,4900,MIA@MIL 04/21/2018 07:10PM ET,MIA,0
,,,,,,,,,,,SP,Derek Holland (10576567),Derek Holland,10576567,P,4900,SF@LAA 04/21/2018 09:07PM ET,SF,13.68
,,,,,,,,,,,SP,Joan Gregorio (10577180),Joan Gregorio,10577180,P,4900,SF@LAA 04/21/2018 09:07PM ET,SF,0
,,,,,,,,,,,SP,Clayton Richard (10576568),Clayton Richard,10576568,P,4800,SD@ARI 04/21/2018 08:10PM ET,SD,7.18
,,,,,,,,,,,1B,Paul Goldschmidt (10576580),Paul Goldschmidt,10576580,1B,4800,SD@ARI 04/21/2018 08:10PM ET,ARI,9
,,,,,,,,,,,SP,Colin Rea (10577189),Colin Rea,10577189,P,4800,SD@ARI 04/21/2018 08:10PM ET,SD,0
,,,,,,,,,,,SP,Marcos Molina (10577185),Marcos Molina,10577185,P,4800,NYM@ATL 04/21/2018 07:10PM ET,NYM,0
,,,,,,,,,,,OF,George Springer (10576579),George Springer,10576579,OF,4800,HOU@CWS 04/21/2018 07:10PM ET,HOU,8.86
,,,,,,,,,,,SP,Mike Minor (10577187),Mike Minor,10577187,P,4800,SEA@TEX 04/21/2018 08:05PM ET,TEX,14.56
,,,,,,,,,,,SP,Erasmo Ramirez (10577190),Erasmo Ramirez,10577190,P,4800,SEA@TEX 04/21/2018 08:05PM ET,SEA,0
,,,,,,,,,,,SP,Andrew Albers (10577191),Andrew Albers,10577191,P,4800,SEA@TEX 04/21/2018 08:05PM ET,SEA,0
,,,,,,,,,,,SP,Merandy Gonzalez (10577186),Merandy Gonzalez,10577186,P,4800,MIA@MIL 04/21/2018 07:10PM ET,MIA,4.7
,,,,,,,,,,,SP,Adam Conley (10577192),Adam Conley,10577192,P,4800,MIA@MIL 04/21/2018 07:10PM ET,MIA,0
,,,,,,,,,,,SP,Tyler Beede (10577188),Tyler Beede,10577188,P,4800,SF@LAA 04/21/2018 09:07PM ET,SF,5.22
,,,,,,,,,,,RP,Matt Strahm (10577193),Matt Strahm,10577193,P,4700,SD@ARI 04/21/2018 08:10PM ET,SD,0
,,,,,,,,,,,1B,Freddie Freeman (10576578),Freddie Freeman,10576578,1B,4700,NYM@ATL 04/21/2018 07:10PM ET,ATL,9.47
,,,,,,,,,,,OF,Kyle Schwarber (10576583),Kyle Schwarber,10576583,OF,4700,CHC@COL 04/21/2018 08:10PM ET,CHC,9.19
,,,,,,,,,,,2B,Javier Baez (10576584),Javier Baez,10576584,2B,4700,CHC@COL 04/21/2018 08:10PM ET,CHC,12.47
,,,,,,,,,,,1B,Eric Thames (10576581),Eric Thames,10576581,1B,4700,MIA@MIL 04/21/2018 07:10PM ET,MIL,9
,,,,,,,,,,,SP,Trevor Richards (10577194),Trevor Richards,10577194,P,4700,MIA@MIL 04/21/2018 07:10PM ET,MIA,6.09
,,,,,,,,,,,OF,J.D. Martinez (10576582),J.D. Martinez,10576582,OF,4700,BOS@OAK 04/21/2018 09:05PM ET,BOS,10.35
,,,,,,,,,,,OF,A.J. Pollock (10576586),A.J. Pollock,10576586,OF,4600,SD@ARI 04/21/2018 08:10PM ET,ARI,10
,,,,,,,,,,,SP,Robbie Erlin (10577195),Robbie Erlin,10577195,P,4600,SD@ARI 04/21/2018 08:10PM ET,SD,5.68
,,,,,,,,,,,SP,Kris Medlen (10577196),Kris Medlen,10577196,P,4600,SD@ARI 04/21/2018 08:10PM ET,ARI,0
,,,,,,,,,,,OF,Michael Conforto (10576585),Michael Conforto,10576585,OF,4600,NYM@ATL 04/21/2018 07:10PM ET,NYM,6.86
,,,,,,,,,,,2B,DJ LeMahieu (10576588),DJ LeMahieu,10576588,2B,4600,CHC@COL 04/21/2018 08:10PM ET,COL,9.38
,,,,,,,,,,,OF,Christian Yelich (10576589),Christian Yelich,10576589,OF,4600,MIA@MIL 04/21/2018 07:10PM ET,MIL,11
