"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"WR","Louis Murphy",3000,"Ten@TB 04:25PM ET",7.636
"RB","Antone Smith",3000,"Phi@Atl 07:10PM ET",7.860
"RB","Donald Brown",3000,"Det@SD 04:05PM ET",5.569
"RB","Jorvorskie Lane",3000,"Ten@TB 04:25PM ET",0.789
"WR","Jordan Norwood",3000,"Bal@Den 04:25PM ET",0
"RB","John Conner",3000,"Ind@Buf 01:00PM ET",1.125
"WR","Trindon Holliday",3000,"Cin@Oak 04:25PM ET",0.000
"WR","Kevin Ogletree",3000,"NYG@Dal 08:30PM ET",1.429
"RB","Collin Mooney",3000,"Phi@Atl 07:10PM ET",0
"WR","Kyle Williams",3000,"Bal@Den 04:25PM ET",0
"RB","Erik Lorig",3000,"NO@Ari 04:05PM ET",1.710
"WR","Kris Durham",3000,"Cin@Oak 04:25PM ET",2.850
"RB","Shaun Draughn",3000,"Cle@NYJ 01:00PM ET",0.173
"WR","Hakeem Nicks",3000,"Ten@TB 04:25PM ET",6.542
"WR","Preston Parker",3000,"NYG@Dal 08:30PM ET",5.550
"WR","Greg Salas",3000,"Det@SD 04:05PM ET",3.270
"WR","Jacoby Ford",3000,"Ten@TB 04:25PM ET",0
"RB","Marcel Reece",3000,"Cin@Oak 04:25PM ET",5.133
"WR","Dwayne Harris",3000,"NYG@Dal 08:30PM ET",1.044
"RB","Bruce Miller",3000,"Min@SF 10:20PM ET",3.050
"WR","Marc Mariani",3000,"GB@Chi 01:00PM ET",0.000
"WR","Bryan Walters",3000,"Car@Jax 01:00PM ET",0.767
"WR","Jacoby Jones",3000,"Det@SD 04:05PM ET",1.611
"WR","Riley Cooper",3000,"Phi@Atl 07:10PM ET",8.106
"RB","Boobie Dixon",3000,"Ind@Buf 01:00PM ET",4.256
"WR","Jeremy Ross",3000,"Det@SD 04:05PM ET",3.488
"RB","Chase Reynolds",3000,"Sea@StL 01:00PM ET",0.000
"WR","Joseph Morgan",3000,"NO@Ari 04:05PM ET",3.980
"WR","Damian Williams",3000,"Sea@StL 01:00PM ET",0.800
"WR","Ryan Broyles",3000,"Det@SD 04:05PM ET",0.900
"WR","John Chiles",3000,"GB@Chi 01:00PM ET",0
"WR","Arrelious Benn",3000,"Car@Jax 01:00PM ET",0
"WR","Carlton Mitchell",3000,"Phi@Atl 07:10PM ET",0
"WR","Marcus Easley",3000,"Ind@Buf 01:00PM ET",0.000
"WR","Austin Pettis",3000,"Det@SD 04:05PM ET",5.960
"WR","Armon Binns",3000,"KC@Hou 01:00PM ET",0
"RB","Matt Asiata",3000,"Min@SF 10:20PM ET",13.013
"WR","Corbin Louks",3000,"KC@Hou 01:00PM ET",0
"WR","Marcus Harris",3000,"NYG@Dal 08:30PM ET",0
"RB","Taiwan Jones",3000,"Cin@Oak 04:25PM ET",0.000
"RB","DuJuan Harris",3000,"Min@SF 10:20PM ET",0.567
